ID,回答エリア,施設,回答日時,宿泊数（全行程）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,宿泊目的,交通手段,交通手段（施設）,満足度（交通手段）,満足度理由（交通手段）,一人あたり宿泊費,一人あたり交通費,一人あたり消費額（県内）,訪問回数,情報源,訪問施設（前）,訪問施設（前）自由記入,訪問施設（後）自由記入,一人あたり消費額（施設）,満足度（商品・サービス）,満足度理由（商品・サービス）,満足度（施設）,満足度理由（施設）,不便（施設）,不便理由,NPS,自由意見（施設）,リピート意向,自由意見（県内）,性別,生年,都道府県,市区町村,世帯年収,回答動機,旅全体の総合満足度を教えてください。,"石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。
０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。",今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
15,能登,穴水駅,2023-09-28T14:50:16+09:00,2泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光",在来線,旅行会社ツアーバス,満足,景色のいいところを走ってくれるので退屈しない,"30,000円以上、40,000円未満","20,000円以上、30,000円未満","40,000円以上、50,000円未満",初めて,"新聞・雑誌・ガイドブック, 観光連盟やDMOのHP, 観光協会等の案内所",選択なし/該当施設なし,巌門　遊覧船乗船,観光列車で七尾駅,"3,000円以上、5,000円未満",満足,買いたいお土産が沢山あるから,満足,懐かしい気持ちになる駅だから,感じなかった,,7,,機会があれば行きたい,なし,男性,1963,愛知県,知多郡東浦町,1500万円以上,石川県のおすすめ観光スポットが見たい,,,いいところだから
16,能登,加賀屋,2023-09-28T17:28:45+09:00,2泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット",新幹線,加賀谷送迎バス,とても満足,雨の中、従業員さんが傘をさして見送ってくれた,"30,000円以上、40,000円未満","30,000円以上、40,000円未満","10,000円以上、20,000円未満",初めて,"観光パンフレット・ポスター, インターネット・アプリ",選択なし/該当施設なし,最初に訪れたため,ル  ミュゼ ドｳ  アﾂシﾕ,"40,000円以上、50,000円未満",とても満足,サービス、接客とも満点、部屋も綺麗で申し分無かったです。,とても満足,至るところに、生花が生けてあり、装飾も素晴らしかったです。,感じなかった,,10,お土産屋さんも充実していたので、初日に購入し自宅に郵送したので、翌日からはお土産の心配がなく満喫出来たので良かったです。,機会があれば行きたい,市内観光は、バスを利用して移動したが次回はレンタサイクルを利用したいので、情報やマップなどが充実していて欲しい。,女性,1972,東京都,葛飾区,600万円以上700万円未満,能登牛が当たる,,,歴史や文化もさることながら、県民のおもてなしの心を感じたため。
17,能登,道の駅のと千里浜,2023-09-29T11:22:23+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光",自家用車,自家用車,,,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,インターネット・アプリ,千里浜なぎさドライブウェイ,,,"1,000円以上、3,000円未満",満足,お寿司がたべれたから,満足,施設がきれかった,感じなかった,,8,,また行きたい（1年以内）,なし,男性,1973,奈良県,奈良市,800万円以上900万円未満,"能登牛が当たる, 石川県の雑学を知りたい",,,海岸ドライブが、楽しい
18,能登,古民家レストラン茅葺庵,2023-09-29T14:32:56+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,姉弟,お祭りやイベントへの参加・見物,自家用車,自家用車,,,"10,000円以上、20,000円未満",使わない,"20,000円以上、30,000円未満",２～５回目,"新聞・雑誌・ガイドブック, TV・ラジオ番組やCM",選択なし/該当施設なし,,,"3,000円以上、5,000円未満",満足,新米の時期で美味しくごはんが頂けました,満足,のどかな田園風景の中でゆっくりとした時間が感じられました。,感じなかった,,10,農家体験やトレッキング等,石川県在住,お酒の飲み比べ,女性,1966,石川県,鳳珠郡能登町,100万円以上200万円未満,能登牛が当たる,,,田園風景
19,能登,古民家レストラン茅葺庵,2023-09-29T14:39:21+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,姉妹,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 買い物、アウトレット",自家用車,自家用車,,,使わない,"1,000円以上、3,000円未満","5,000円以上、10,000円未満",２～５回目,TV・ラジオ番組やCM,選択なし/該当施設なし,,,"3,000円以上、5,000円未満",満足,以前より過ごしやすくおしゃれになった,満足,秋であったが家を通り抜ける風が気持ちよかった,感じなかった,,10,マッサージあるのかな,石川県在住,近くに気軽に行ける居酒屋、カフェが欲しい,女性,1961,石川県,鳳珠郡能登町,100万円未満,お米が好き,,,素敵にリホームされ接客もよかったので
20,能登,加賀屋,2023-09-29T15:36:25+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,親,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 買い物、アウトレット, ドライブ・ツーリング",自家用車,自家用車,,,"1,000円未満","1,000円未満","1,000円未満",２～５回目,インターネット・アプリ,千里浜なぎさドライブウェイ,,,"1,000円未満",満足,,満足,,感じなかった,,9,,石川県在住,特になし,女性,1997,石川県,能美市,300万円以上400万円未満,なんとなく,,,
21,能登,Royal Hotel 能登,2023-09-29T16:54:42+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,岐阜県,夫婦2人,宿でのんびり過ごす,自家用車,自家用車,,,"10,000円以上、20,000円未満","1,000円以上、3,000円未満","10,000円以上、20,000円未満",初めて,インターネット・アプリ,のとじま水族館,,,"3,000円以上、5,000円未満",満足,清潔,満足,清掃,感じた,足が悪いので風呂まで遠い,7,ウエルカムドリンクはよかった,また行きたい（1年以内）,今回の旅行にとても満足です,女性,1950,岐阜県,飛騨市,300万円以上400万円未満,なんとなく,,,窓からの眺め
22,能登,道の駅狼煙,2023-09-30T15:50:20+09:00,日帰り,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,"名所、旧跡の観光, お祭りやイベントへの参加・見物",自家用車,自家用車,,,"10,000円以上、20,000円未満","1,000円以上、3,000円未満","10,000円以上、20,000円未満",２～５回目,友人・知人,選択なし/該当施設なし,能登国際芸術祭,,使わない,どちらでもない,,満足,トイレが綺麗だった,感じなかった,,6,トイレが綺麗であれば良い,また行きたい（1年以内）,特にない,女性,1995,石川県,金沢市,600万円以上700万円未満,能登牛が当たる,,,勧めるほどではないけれど行くところがない
23,能登,加賀屋,2023-09-30T18:14:34+09:00,4泊以上,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,新潟県、長野県,親,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット",自家用車,自家用車,,,"50,000円以上、100,000円未満","10,000円以上、20,000円未満","20,000円以上、30,000円未満",初めて,"新聞・雑誌・ガイドブック, インターネット・アプリ",選択なし/該当施設なし,,,"50,000円以上、100,000円未満",とても満足,,満足,,感じなかった,,7,,機会があれば行きたい,特になし,男性,1977,宮城県,名取市,1500万円以上,なんとなく,,,
24,金沢,兼六園,2023-09-30T22:16:47+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,恋人,温泉や露天風呂,飛行機,徒歩,とても満足,,"30,000円以上、40,000円未満","30,000円以上、40,000円未満","5,000円以上、10,000円未満",２～５回目,新聞・雑誌・ガイドブック,金沢城（金沢城公園）,,,"10,000円以上、20,000円未満",とても満足,,とても満足,,感じた,,10,,また行きたい（1年以内）,特になし,男性,2008,富山県,富山市,100万円未満,石川県の雑学を知りたい,,,
25,金沢,金沢城公園,2023-10-01T01:43:38+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）",在来線,徒歩,,,"10,000円以上、20,000円未満","1,000円未満","30,000円以上、40,000円未満",初めて,新聞・雑誌・ガイドブック,尾山神社,,,"1,000円未満",満足,カフェで冷やし抹茶と和菓子を食べましたが、とても美味しかったです。,満足,,感じなかった,,8,金沢城公園には9月29日に訪れましたが、チームラボのプロジェクションマッピングを見ることが出来ず残念でした。,機会があれば行きたい,今回食べた物が全て美味しかったので、特にありません。,女性,1963,愛知県,知立市,400万円以上500万円未満,"能登牛が当たる, 動く３Dひゃくまんさんを見たい",,,
26,能登,道の駅狼煙,2023-10-01T09:28:37+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,"地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）, 友人・親戚を訪ねる, 奥能登国際芸術祭",自家用車,自家用車,満足,のと里山海道による移動が便利,使わない,"5,000円以上、10,000円未満","10,000円以上、20,000円未満",２～５回目,友人・知人,輪島朝市,奥能登国際芸術祭,,"1,000円未満",どちらでもない,特別優れた製品や食べ物があると思えなかった,どちらでもない,,感じなかった,,1,,また行きたい（1年以内）,美味しい食べ物、日本海にしかない食べ物、自然,男性,1995,岐阜県,可児市,500万円以上600万円未満,"能登牛が当たる, 道もある程度整備されていて能登半島は素敵な所なので、より多くの人に訪れてほしいと思ったため。",,,
27,金沢,兼六園,2023-10-01T16:36:23+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,サイコロきっぷ,在来線,徒歩,,,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","30,000円以上、40,000円未満",初めて,観光パンフレット・ポスター,金沢城（金沢城公園）,,,使わない,とても満足,警備員さんにバス停の場所を聞いたときの対応が良かった。,どちらでもない,静かに愛でたかったが、ガイドの声が大きかったから。,感じなかった,,6,,機会があれば行きたい,特になし,女性,1970,和歌山県,日髙郡日高町,700万円以上800万円未満,ひゃくまさんが好き,,,
28,能登,加賀屋,2023-10-01T17:07:17+09:00,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 名所、旧跡の観光",自家用車,自家用車,どちらでもない,自家用車が安心だから,"50,000円以上、100,000円未満","10,000円以上、20,000円未満","40,000円以上、50,000円未満",初めて,"新聞・雑誌・ガイドブック, インターネット・アプリ, ブログ",千里浜なぎさドライブウェイ,,,"50,000円以上、100,000円未満",とても満足,何でもあってオリジナル商品も多い。,とても満足,噂通り,感じなかった,,10,,また行きたい（1年以内）,無し,女性,1969,岡山県,岡山市,800万円以上900万円未満,能登牛が当たる,,,とても楽しかったから
29,能登,加賀屋,2023-10-01T20:53:13+09:00,3泊,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",新幹線,在来線,とても満足,花嫁のれんの電車がとても良かったから,"50,000円以上、100,000円未満","30,000円以上、40,000円未満","20,000円以上、30,000円未満",初めて,インターネット・アプリ,のとじま水族館,,辻口博啓さんのケーキ屋さん,"30,000円以上、40,000円未満",とても満足,バイキングがとても良かった,満足,インテリアなどはとてもかわいいものでしたが、入口やロビーなどの窓が曇っていて古さを感じてしまった。,感じなかった,,8,朝も夜もバイキングがとても美味しく満足でした。,機会があれば行きたい,豪華絢爛のイメージが強かったですが、若者も楽しめるように工夫されていて好印象でした。,女性,1977,栃木県,小山市,500万円以上600万円未満,ひゃくまさんが好き,,,料理がとても美味しかった
30,金沢,兼六園,2023-10-01T22:29:50+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,"宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策",県外から訪れていない（石川県内在住）,路線バス,どちらでもない,まちバスを利用。混んでいたが料金が安いので仕方がない。,"1,000円以上、3,000円未満","1,000円以上、3,000円未満","20,000円以上、30,000円未満",６～１０回目,"新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, 観光協会等の案内所",金沢城（金沢城公園）,,,"1,000円未満",どちらでもない,,満足,手入れが行き届き綺麗だから,感じなかった,,10,お茶屋さんが少し入りづらい,石川県在住,特になし,女性,1970,石川県,金沢市,100万円以上200万円未満,能登牛が当たる,,,
31,金沢,兼六園,2023-10-01T23:05:07+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,"地元の美味しいものを食べる, 名所、旧跡の観光","新幹線, 在来線",路線バス,満足,料金が分かりやすい。,"10,000円以上、20,000円未満","20,000円以上、30,000円未満","20,000円以上、30,000円未満",初めて,観光パンフレット・ポスター,尾山神社,,,"1,000円未満",とても満足,来園記念の札をもらえた。,満足,ライトアップの準備をしていてゴタゴタしていた。,感じなかった,,5,,機会があれば行きたい,海鮮が美味しいんだと思っていたが、値段ばかり高くあまり美味しくなかったのが残念だった。,女性,1971,山梨県,笛吹市,300万円以上400万円未満,ひゃくまさんが好き,,,特になし
32,能登,加賀屋,2023-10-02T14:43:43+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,恋人,"宿でのんびり過ごす, 温泉や露天風呂",自家用車,自家用車,とても満足,,"20,000円以上、30,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,観光展・物産展,千里浜なぎさドライブウェイ,,,"10,000円以上、20,000円未満",とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,特になし,男性,2000,福井県,坂井市,200万円以上300万円未満,"能登牛が当たる, ひゃくまさんが好き",,,
33,金沢,兼六園,2023-10-02T19:30:40+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, 名所、旧跡の観光","在来線, サイコロきっぷ",徒歩,満足,天候,"10,000円以上、20,000円未満","5,000円以上、10,000円未満","10,000円以上、20,000円未満",初めて,"インターネット・アプリ, 友人・知人",近江町市場,,チームラボ,"1,000円以上、3,000円未満",満足,平日でゆっくり見て回れた,とても満足,キレイだった,感じなかった,,8,スイーツ系,機会があれば行きたい,個装のお土産がたくさんあると嬉しい,女性,1981,兵庫県,伊丹市,700万円以上800万円未満,なんとなく,,,ゆっくりできる
34,金沢,兼六園,2023-10-02T20:25:34+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,"温泉や露天風呂, 地元の美味しいものを食べる, スポーツ観戦や芸術鑑賞（コンサート等）, 友人・親戚を訪ねる",新幹線,路線バス,とても満足,バスの運転手がバス停の案内とともに観光名所案内もしてくれてわかりやすかった。,"5,000円以上、10,000円未満","30,000円以上、40,000円未満","10,000円以上、20,000円未満",初めて,"インターネット・アプリ, 友人・知人",金沢城（金沢城公園）,,,"1,000円以上、3,000円未満",とても満足,手入れが行き届いているところ,とても満足,リフレッシュできた,感じなかった,,10,ライトアップ,また行きたい（1年以内）,海産物、郷土料理などの充実,女性,1976,神奈川県,横浜市,800万円以上900万円未満,"動く３Dひゃくまんさんを見たい, 石川県のおすすめ観光スポットが見たい",,,自然豊かな環境でリラックスできるから
