施設,タイムスタンプ,個人情報保護の方針について,全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）,石川県内での宿泊数をお答えください,石川県内での宿泊エリアをお答えください,石川県外での宿泊エリアをお答えください,今回はどなたと石川県を訪れていますか？,今回の石川県の訪問目的は何ですか？（複数選択可）,石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください,次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください,前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。,上記満足度の理由について、具体的に教えてください,今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）,"今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり）
※石川県外からの交通費、石川県内での交通費を含む。","今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり）
※飲食、買い物、体験・観光などの消費額合計
※宿泊費、交通費を除く",これまでに   当施設   には何度訪れたことがありますか。,今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）,"当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(前),"当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(後),当施設    における、消費総額をお答えください。（予定でも可/１人あたり）,当施設 における、商品・サービスの満足度をお答えください,上記満足度の理由につい具体的に教えてください。(サービス),当施設   における、施設全体の満足度をお答えください。,上記満足度の理由につい具体的に教えてください。(施設全体),当施設   において、不便を感じたり困ったことはありましたか。,上記不便を感じたり、困ったことについて具体的に教えてください,あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。,あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください,今後、再び石川県を訪れたいと思いますか,"あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。

(※必須項目です。無ければ「特になし」とご記入ください)",性別をお答えください,生まれた年をお答えください,お住いの都道府県をお答えください,"お住いの市区町村をお答えください
例：新宿区",世帯年収をお答えください,アンケートに回答しようと思った動機をお答えください,旅全体の総合満足度を教えてください。,"石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。
０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。",今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
のと里山空港,2023/12/18 19:44:42,同意する,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,恋人,"温泉や露天風呂, 名所、旧跡の観光",飛行機,レンタカー,満足,珠洲市でガソリン代の助成があった,"20,000円以上 30,000円未満","20,000円以上 30,000円未満","20,000円以上 30,000円未満",初めて,"観光連盟やDMOのHP, Instagram",選択なし/該当施設なし,ランプの宿,選択なし／該当施設なし,羽田空港,"1,000円未満",どちらでもない,観光情報が充実している。保安検査場がずっと混んでいる,満足,観光情報が充実している。一通りのお土産がある。,感じなかった,,9,レストランでは能登の名物を提供していて、最後まで能登を堪能することができた。,機会があれば行きたい,牛の料理、生魚、釣り,女,1997,東京都,荒川区,800万円以上 900万円未満,"能登牛が当たる, 石川県のおすすめ観光スポットが見たい",,,刺身の脂が美味しかった。とろけた。
のと里山空港,2023/12/20 16:54:25,同意する,2泊,2泊,白山エリア （一里野温泉、白峰温泉、白山市など）,石川県外には泊まらない,夫婦2人,地元の美味しいものを食べる,飛行機,旅行会社ツアーバス,,,"40,000円以上 50,000円未満","30,000円以上 40,000円未満","3,000円以上 5,000円未満",2～5回目,新聞・雑誌・ガイドブック,能登食祭市場,,輪島朝市,,使わない,どちらでもない,,どちらでもない,,感じなかった,,6,,機会があれば行きたい,特に無し,男,1961,千葉県,八千代市,200万円以上 300万円未満,能登牛が当たる,,,
のと里山空港,2023/12/23 9:56:06,同意する,3泊,3泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,中学生以下連れの家族,友人・親戚を訪ねる,"レンタカー, 飛行機",レンタカー,とても満足,特に不便なことはなかったので。,使わない,"40,000円以上 50,000円未満","40,000円以上 50,000円未満",2～5回目,インターネット・アプリ,輪島朝市,,選択なし／該当施設なし,実家,"3,000円以上 5,000円未満",とても満足,売店の方が親切でした。,満足,売店がもっと充実するとよい。,感じた,ラウンジがない,5,,どちらともいえない,特になし,女,1973,東京都,荒川区,"900万円以上 1,000万円未満",能登牛が当たる,,,不便な場所なので。
のと里山空港,2023/12/27 10:25:33,同意する,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,自分ひとり,温泉や露天風呂,飛行機,ふるさとタクシー,とても満足,空港からホテルまで、雪に当たらない。また、雨でも、傘が不要で、荷物が少なくて済むから。,"10,000円以上 20,000円未満","30,000円以上 40,000円未満","5,000円以上 10,000円未満",2～5回目,観光パンフレット・ポスター,輪島朝市,,能登食祭市場,輪島マルンタウン,"3,000円以上 5,000円未満",とても満足,ホスタビリティが良いから,とても満足,施設が整ってるから,感じなかった,なし,10,能登空港の利用回数による感謝状,また行きたい（1年以内）,釣りをもっとアピールしたら良いです。,男,1976,東京都,足立区,700万円以上 800万円未満,能登牛が当たる,,,ホスタビリティが最高だから
のと里山空港,2024/01/03 2:43:25,同意する,2泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,友人,"温泉や露天風呂, 地元の美味しいものを食べる",旅行会社ツアーバス,旅行会社ツアーバス,とても満足,バスツアーでさまざまな観光地を効率よくまわれたから。,"20,000円以上 30,000円未満","1,000円未満","10,000円以上 20,000円未満",初めて,"観光展・物産展, 観光パンフレット・ポスター, 観光協会等の案内所",能登食祭市場,,能登食祭市場,,"1,000円以上 3,000円未満",満足,クリスマスの飾り付けが工夫されていた。,満足,お土産売り場の広さが少し物足りなかった,感じなかった,行きに搭乗口をでたところが混み合っていて、出口が狭いと感じました。,9,レストランが全く見当たらず、軽食でも取れる所が欲しいです。,機会があれば行きたい,お土産は塩田が有名なので、塩関係のものが多かった。他にも名物があるとお土産を選ぶ、選択肢が増えると思いました。,女,1977,神奈川県,相模原市,100万円以上 200万円未満,"ひゃくまさんが好き, ひゃくまんさんの名刺をコレクションしている",,,天気が悪くて残念だったが、日本海が綺麗でした。
のと里山空港,2024/01/03 9:33:16,同意する,2泊,2泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",飛行機,タクシー,満足,便利です,"100,000円以上","5,000円以上 10,000円未満","20,000円以上 30,000円未満",2～5回目,"インターネット・アプリ, ANAツアーズにて予約",選択なし/該当施設なし,空港から里山タクシーでシーサイドヴィラ渤海へ直行,選択なし／該当施設なし,シーサイドヴィラ渤海周辺散策と温泉三昧！,"1,000円以上 3,000円未満",満足,ソフトクリームが美味しかった。,満足,こぢんまりとして、過ごしやすい。能登震災に遭遇したが、スタッフ一同最善の対応をしてくれた。感謝！,感じた,能登震災に遭遇したから。最善の対応をしてくださったが、孤立状態から抜けられず籠城するしかなかった。ピストン輸送で電車があるところまででもなんとかしてもらえれば…,10,海産物、海、温泉、ホントに良いです！,また行きたい（1年以内）,地産の新鮮なものをいただけているので、文句ないです。,女,1972,埼玉県,さいたま市,"1,000万円以上 1,200万円未満","能登牛が当たる, ひゃくまさんが好き",,,未曾有雨の自体でなければ、非常にのんびりと過ごせ、食事も美味しいです。温泉や海も良くてリラックスできます。
のと里山空港,2024/02/08 13:13:09,同意する,2泊,4泊以上,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,職場の同僚,出張など仕事関係,レンタカー,レンタカー,とても満足,安かった,"100,000円以上","100,000円以上","100,000円以上",2～5回目,インターネット・アプリ,選択なし/該当施設なし,すずなり,選択なし／該当施設なし,被災支援のため,"100,000円以上",とても満足,20万買いました。,満足,一階喫煙も室内希望,感じなかった,トイレありがとう！,10,,石川県在住,また奥能登の美味しいもの食べたいです。,女,1987,石川県,金沢市,"1,500万円以上",能登牛が当たる,,,能登金沢の陸路が女性にはきついので、羽田経由
のと里山空港,2024/02/15 13:25:49,同意する,4泊以上,4泊以上,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,葬式,飛行機,路線バス,とても満足,地震の中再開してくれた,使わない,"1,000円以上 3,000円未満","20,000円以上 30,000円未満",6～10回目,インターネット・アプリ,選択なし/該当施設なし,,選択なし／該当施設なし,,"5,000円以上 10,000円未満",満足,仕方ないが品揃えが少なかった,満足,下りのエスカレーターが欲しい,感じなかった,,10,地区ならではの充実,また行きたい（1年以内）,特になし,女,1975,千葉県,市川市,400万円以上 500万円未満,能登牛が当たる,,,こんな時期だからたくさん訪れて欲しい
のと里山空港,2024/03/26 13:06:19,同意する,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,温泉や露天風呂,自家用車,自家用車,,,"10,000円以上 20,000円未満",使わない,"10,000円以上 20,000円未満",2～5回目,新聞・雑誌・ガイドブック,輪島朝市,,選択なし／該当施設なし,,使わない,どちらでもない,,どちらでもない,,感じなかった,,8,,また行きたい（1年以内）,特に無し,男,1970,長野県,南佐久郡川上村,400万円以上 500万円未満,なんとなく,,,
のと里山空港,2024/03/28 13:15:21,同意する,4泊以上,4泊以上,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,自分ひとり,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット, お祭りやイベントへの参加・見物, アウトドア（海水浴、釣り、登山など）, スキー・スノボ・マリンスポーツ, 友人・親戚を訪ねる",飛行機,自家用車,満足,乗り合いバス・タクシーが充実している。,使わない,"20,000円以上 30,000円未満","30,000円以上 40,000円未満",11回目以上,"インターネット・アプリ, X(旧：Twitter), Instagram, Facebook, タクシードライバーや地元の人",選択なし/該当施設なし,藤浪台運動公園,選択なし／該当施設なし,,"5,000円以上 10,000円未満",満足,インターネット接続環境が充実している。,満足,下りエスカレーターがほしい。,感じた,下りエスカレーターがほしい。,8,釣り、温泉、きのこ狩り、マリンスポーツ、クルージング,また行きたい（1年以内）,いしる、へしこ、ふぐの内蔵漬、カレー,男,1984,神奈川県,横須賀市,500万円以上 600万円未満,"能登牛が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",,,能登へのアクセス
のと里山空港,2024/04/03 9:16:44,同意する,日帰り,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,地元の美味しいものを食べる,自家用車,自家用車,,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",2～5回目,"観光パンフレット・ポスター, インターネット・アプリ",選択なし/該当施設なし,,選択なし／該当施設なし,,"20,000円以上 30,000円未満",とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,カニやエビなどの海鮮料理をを安く食べたい。,男,1967,富山県,射水市,"1,000万円以上 1,200万円未満",能登牛が当たる,,,
のと里山空港,2024/04/04 18:52:02,同意する,3泊,3泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,友人,炊き出し,"新幹線, 飛行機",路線バス,とても満足,乗客が少なく静かに移動できたからです。,使わない,"30,000円以上 40,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ, Instagram, 友人・知人, 食べログ",輪島朝市,,選択なし／該当施設なし,,"1,000円以上 3,000円未満",満足,能登のものがレストランで食べられて、お土産も買えてよかったからです。しいてゆえば、サイダーが飲めなかったことが残念でした,とても満足,お土産物屋、コンビニ、飛行機の様子を見れる、空いているなど,感じなかった,強いてゆえば、本数が少ないことです。,10,土産物で売られている箸、安いものでもないし、たくさん大切に使っていきたいと思うので、名前入れとか出来たら楽しいと思いました。,また行きたい（1年以内）,おいしいもの、長く使える目新しいものなど。美味しいものは魚介,女,2002,東京都,世田谷区,100万円未満,"能登牛が当たる, ひゃくまさんが好き, 石川県のおすすめ観光スポットが見たい, オススメの食べ物(もらえるから)知りたい",,,素敵だったと思われる街並みが広がっていて、復興したらまた沢山来たいと思ったし、復興するまでもまた支援に来たいと思いました。また、飛行機を利用すればこんなに簡単に安価で来れることを知らなかったからです。
のと里山空港,2024/05/01 10:24:33,同意する,4泊以上,4泊以上,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,親,震災の片付け,飛行機,"タクシー, ふるさとタクシー",とても満足,辛い中運んでくださり感謝です。,使わない,"40,000円以上 50,000円未満","40,000円以上 50,000円未満",11回目以上,"友人・知人, タクシードライバーや地元の人",選択なし/該当施設なし,織姫の里　どんたく,道の駅 のとじま,,"5,000円以上 10,000円未満",とても満足,震災で商品激減。仕方のないことです。,とても満足,ありがとうございます,感じなかった,,10,,また行きたい（1年以内）,特に無し,女,1984,神奈川県,藤沢市,300万円以上 400万円未満,"能登牛が当たる, 復興に役立てばと思い",とても満足,10,元々良い街なので復興のボランティアを勧めたい
のと里山空港,2024/05/28 11:24:18,同意する,4泊以上,4泊以上,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,友人,"友人・親戚を訪ねる, 出張など仕事関係","新幹線, 在来線","自家用車, レンタカー",とても満足,,"3,000円以上 5,000円未満","30,000円以上 40,000円未満","10,000円以上 20,000円未満",初めて,友人・知人,選択なし/該当施設なし,すしべん中島店,選択なし／該当施設なし,海浜あみだ湯,"1,000円以上 3,000円未満",とても満足,,とても満足,,感じなかった,,7,,また行きたい（1年以内）,交通手段の復興,男,1997,東京都,江東区,300万円以上 400万円未満,"能登牛が当たる, なんとなく",とても満足,10,
のと里山空港,2024/06/19 8:19:57,同意する,4泊以上,4泊以上,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,団体旅行,ボランティア,新幹線,旅行会社ツアーバス,満足,バスが大きい,使わない,使わない,"5,000円以上 10,000円未満",初めて,タクシードライバーや地元の人,選択なし/該当施設なし,,輪島朝市,,使わない,不満,お土産が買えない。外にお土産自販機がほしい。,満足,こじんまりして可愛い,感じなかった,,5,,また行きたい（1年以内）,特になし,女,1972,東京都,調布市,200万円以上 300万円未満,ひゃくまさんが好き,満足,10,生で見てほしい
能登食祭市場,2023/10/21 12:18:54,同意する,1泊,1泊,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",新幹線,"在来線, 徒歩",満足,待ち時間少なく電車に乗ることができたため。,"30,000円以上 40,000円未満","20,000円以上 30,000円未満","30,000円以上 40,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,,選択なし／該当施設なし,,"10,000円以上 20,000円未満",満足,購入した食材を持ち込みできる浜焼きが特に満足したため,とても満足,地元の海産物やお土産の選択肢が多いため。,感じなかった,,10,地域密着に特化した、モノ、サービスの提供,また行きたい（1年以内）,海、山の幸を一度に楽しむことができ、和倉温泉や能登温泉のようなゆったりとくつろげる時間、空間を求めています。,男,1995,大阪府,大阪市,500万円以上 600万円未満,"能登牛が当たる, ひゃくまさんが好き",,,大阪からのアクセスも程よく、食事も美味しいため
能登食祭市場,2023/10/22 16:41:20,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,富山県,夫婦2人,地元の美味しいものを食べる,自家用車,自家用車,,,使わない,使わない,"10,000円以上 20,000円未満",6～10回目,観光展・物産展,道の駅のとじま,,選択なし／該当施設なし,,"5,000円以上 10,000円未満",どちらでもない,,どちらでもない,,感じなかった,,4,,どちらともいえない,とくになし,男,1975,富山県,射水市,400万円以上 500万円未満,能登牛が当たる,,,
