施設,タイムスタンプ,個人情報保護の方針について,全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）,石川県内での宿泊数をお答えください,石川県内での宿泊エリアをお答えください,石川県外での宿泊エリアをお答えください,今回はどなたと石川県を訪れていますか？,今回の石川県の訪問目的は何ですか？（複数選択可）,石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください,次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください,前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。,上記満足度の理由について、具体的に教えてください,今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）,"今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり）
※石川県外からの交通費、石川県内での交通費を含む。","今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり）
※飲食、買い物、体験・観光などの消費額合計
※宿泊費、交通費を除く",これまでに   当施設   には何度訪れたことがありますか。,今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）,"当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(前),"当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(後),当施設    における、消費総額をお答えください。（予定でも可/１人あたり）,当施設 における、商品・サービスの満足度をお答えください,上記満足度の理由につい具体的に教えてください。(サービス),当施設   における、施設全体の満足度をお答えください。,上記満足度の理由につい具体的に教えてください。(施設全体),当施設   において、不便を感じたり困ったことはありましたか。,上記不便を感じたり、困ったことについて具体的に教えてください,あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。,あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください,今後、再び石川県を訪れたいと思いますか,"あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。

(※必須項目です。無ければ「特になし」とご記入ください)",性別をお答えください,生まれた年をお答えください,お住いの都道府県をお答えください,"お住いの市区町村をお答えください
例：新宿区",世帯年収をお答えください,アンケートに回答しようと思った動機をお答えください,旅全体の総合満足度を教えてください。,"石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。
０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。",今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
小松空港,2023/10/05 20:12:42,同意する,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,出張など仕事関係,飛行機,路線バス,不満,時間がかかるから,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",とても不満,お店が少なすぎ,とても不満,,感じた,,4,,あまり行きたいと思わない,特になし,無回答,1969,千葉県,木更津市,100万円未満,なんとなく,,,
小松空港,2023/10/06 13:03:07,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,自分ひとり,お祭りやイベントへの参加・見物,自家用車,自家用車,満足,高速道路からのアクセスがいい,使わない,"1,000円以上 3,000円未満","5,000円以上 10,000円未満",11回目以上,インターネット・アプリ,石川県立航空プラザ,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",満足,適度に物があり、選びやすい,満足,清潔なところ,感じなかった,,8,もう少し地元の料理があればいいと思う,また行きたい（1年以内）,特になし,男,1970,福井県,福井市,"1,500万円以上",能登牛が当たる,,,こじんまりとしまとまっている
小松空港,2023/10/06 14:21:51,同意する,3泊,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,出張など仕事関係,"在来線, 飛行機",在来線,どちらでもない,飛行機の便数が少ない,"10,000円以上 20,000円未満","40,000円以上 50,000円未満","10,000円以上 20,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円未満",満足,小さな空港だが金沢らしいお土産がたくさん売っていた,満足,,感じなかった,,8,,機会があれば行きたい,出張の余った時間などでも気軽に楽しめるモデルルートがあれば知りたい。温泉に入れなかったのが心残り,女,1992,北海道,札幌市,500万円以上 600万円未満,能登牛が当たる,,,食べ物が美味しいし観光地も多い
小松空港,2023/10/07 9:47:50,同意する,日帰り,石川県内には宿泊しない,能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）,石川県外には泊まらない,友人,"温泉や露天風呂, スキー・スノボ・マリンスポーツ",県外から訪れていない（石川県内在住）,自家用車,,,使わない,"1,000円未満","3,000円以上 5,000円未満",6～10回目,友人・知人,選択なし/該当施設なし,和倉温泉,選択なし/該当施設なし,羽田空港,"1,000円未満",満足,弁当や軽食など食料を充実させて欲しい,満足,清潔感がある。利用客の割に狭い,感じなかった,,8,弁当や軽食がもっとあって欲しい！空弁などあったらもっと旅行が楽しくなる,石川県在住,食べて美味しいものがたくさんありますが、冬なものを推しすぎなきがします。春や夏にもいいものはあるのでもっと発信してもいいかもしれません,男,1995,石川県,野々市市,600万円以上 700万円未満,"能登牛が当たる, なんとなく",,,
小松空港,2023/10/07 9:49:55,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,東京,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",県外から訪れていない（石川県内在住）,自家用車,,,"10,000円以上 20,000円未満",使わない,"10,000円以上 20,000円未満",11回目以上,近所のため,選択なし/該当施設なし,直できました,選択なし/該当施設なし,イオンモール新小松,"1,000円以上 3,000円未満",不満,荷物検査を受けた後、お弁当や軽食するものが置いていないことが不満です。,満足,お土産がいっぱいあって楽しいし、その他展望台など楽しめる場所があって良い。,感じた,お弁当を置いて欲しい,10,お弁当を増やして欲しい,石川県在住,どこに行ってもやっぱり石川県の食べ物は美味しいと思います,女,1995,石川県,野々市市,300万円以上 400万円未満,"能登牛が当たる, ひゃくまさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい, なんとなく",,,小松の魅力を分かってもらえそうなため
小松空港,2023/10/07 12:08:20,同意する,日帰り,石川県内には宿泊しない,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,富山県,親,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光",飛行機,自家用車,,,"5,000円以上 10,000円未満","10,000円以上 20,000円未満",使わない,11回目以上,X(旧：Twitter),石川県立航空プラザ,,石川県立航空プラザ,,"1,000円以上 3,000円未満",とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,特になし,男,2005,富山県,南砺市,500万円以上 600万円未満,能登牛が当たる,,,
小松空港,2023/10/07 16:15:08,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,夫婦2人,宿でのんびり過ごす,自家用車,小松空港は使ってない,満足,混雑がない,使わない,使わない,"1,000円以上 3,000円未満",11回目以上,インターネット・アプリ,選択なし/該当施設なし,石川動物園,選択なし/該当施設なし,行先なし,使わない,どちらでもない,特に施設は使わないため,どちらでもない,特に利用していない,感じなかった,特にない,8,特になし,また行きたい（1年以内）,特になし,男,1969,石川県,能美市,700万円以上 800万円未満,"能登牛が当たる, ひゃくまさんが好き",,,金沢は町中に訪れる所が意外と多いため特になし
小松空港,2023/10/07 16:16:27,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,親,テーマパーク（遊園地、動物園、博物館など）,県外から訪れていない（石川県内在住）,利用していない,,,使わない,使わない,"1,000円以上 3,000円未満",2～5回目,利用していない,選択なし/該当施設なし,,選択なし/該当施設なし,,使わない,どちらでもない,利用していない,どちらでもない,利用していない,感じなかった,,10,,石川県在住,特になし,女,1996,石川県,金沢市,200万円以上 300万円未満,"能登牛が当たる, ひゃくまさんが好き, なんとなく",,,
小松空港,2023/10/07 17:23:20,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,自分ひとり,お祭りやイベントへの参加・見物,飛行機,ターミナルから出ていない。,満足,,使わない,使わない,"5,000円以上 10,000円未満",11回目以上,インターネット・アプリ,選択なし/該当施設なし,,選択なし/該当施設なし,,"5,000円以上 10,000円未満",とても満足,,満足,,感じなかった,,9,,また行きたい（1年以内）,グルメ,男,1959,埼玉県,鴻巣市,"900万円以上 1,000万円未満",能登牛が当たる,,,
小松空港,2023/10/07 17:28:07,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）,",県外から訪れていない（石川県内在住）,自家用車,,,"3,000円以上 5,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",11回目以上,特になし,選択なし/該当施設なし,,選択なし/該当施設なし,,使わない,どちらでもない,,どちらでもない,,感じなかった,,7,,石川県在住,伝統工芸の体験,女,1983,石川県,金沢市,500万円以上 600万円未満,能登牛が当たる,,,
小松空港,2023/10/07 17:28:11,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,友人,航空ショー,飛行機,"タクシー, 路線バス",満足,親切に話してくれたので。,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","3,000円以上 5,000円未満",2～5回目,友人・知人,石川県立航空プラザ,,選択なし/該当施設なし,帰宅,"3,000円以上 5,000円未満",満足,カフェが欲しいです,満足,航空ショーが見れたため。,感じた,カフェがない。席にコンセントがない。,7,カフェとレストランをもっと豊富にしてほしい。,機会があれば行きたい,のどぐろ丼を空港で食べたいです,女,1994,東京都,足立区,300万円以上 400万円未満,能登牛が当たる,,,航空ショーに感動した
小松空港,2023/10/07 19:41:44,同意する,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,中学生以下連れの家族,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策, お墓参り",飛行機,路線バス,満足,金沢駅から乗車できるため,"10,000円以上 20,000円未満","40,000円以上 50,000円未満","50,000円以上 100,000円未満",11回目以上,インターネット・アプリ,選択なし/該当施設なし,金沢駅,選択なし/該当施設なし,金沢駅,"3,000円以上 5,000円未満",どちらでもない,長居したいようなものがない。,どちらでもない,トイレなど，綺麗になっていて手続きもスムーズにできる。,感じなかった,,5,食事ができるレストランがあったらいいと思います。,また行きたい（1年以内）,観光するにも，何度見ても飽きない。季節によってちがうし、美味しいお菓子があるのと、街がとっても綺麗だと思います。,女,1974,千葉県,松戸市,800万円以上 900万円未満,ひゃくまさんが好き,,,飛行機で来ても、ちょうどいい時間にバスがあるし、人数的に乗車すること乗ることも
小松空港,2023/10/08 9:45:50,同意する,3泊,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる, お祭りやイベントへの参加・見物","レンタカー, 飛行機","レンタカー, タクシー",満足,,"50,000円以上 100,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",6～10回目,"インターネット・アプリ, X(旧：Twitter), Instagram, 友人・知人",選択なし/該当施設なし,,選択なし/該当施設なし,小松基地,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,10,,また行きたい（1年以内）,特になし,女,1971,神奈川県,横浜市,"1,000万円以上 1,200万円未満","能登牛が当たる, ひゃくまさんが好き",,,お寿司など　海産物
小松空港,2023/10/08 9:55:26,同意する,3泊,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）",飛行機,レンタカー,満足,,"20,000円以上 30,000円未満","3,000円以上 5,000円未満","20,000円以上 30,000円未満",6～10回目,"インターネット・アプリ, X(旧：Twitter), Instagram, 友人・知人",選択なし/該当施設なし,,選択なし/該当施設なし,小松基地,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,10,,また行きたい（1年以内）,特になし,女,1971,神奈川県,横浜市,"1,000万円以上 1,200万円未満","能登牛が当たる, ひゃくまさんが好き",,,お寿司なと海産物
小松空港,2023/10/08 9:57:29,同意する,3泊,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,小松基地航空祭,"レンタカー, 飛行機",レンタカー,どちらでもない,20:0.以降の小松空港到着の際にレンタカー屋さんが営業していないのが不便。,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",11回目以上,"インターネット・アプリ, 自分の過去の経験値",選択なし/該当施設なし,小松基地,石川県立航空プラザ,,"3,000円以上 5,000円未満",どちらでもない,レストランが少ない,どちらでもない,レストランが少ないが、全体的に清潔。パーキングの管理も行き届いている。,感じた,レストランが少ない。5年前までは快適。,10,パーキングのキャパが大きく便利。お土産も迷うほど多い。温泉、グルメ、ドライブ、写真撮影、いずれもトップクラス。,また行きたい（1年以内）,航空祭を2日間開催してほしい。海外では2日〜3日開催している。これまで知らなかった石川県、小松空港周辺の良い所も航空祭キッカケで広まり、更に有名なイベントになると思います。航空祭は有料化とし、県と一体となって運営。ボランティアを募り交通整理、ゴミの対応など管理。,男,1967,神奈川県,神奈川区,"900万円以上 1,000万円未満","能登牛が当たる, 大好きな県に協力したい。という想い",,,日本らしく綺麗な景色、美味しい和食。道路も綺麗。
小松空港,2023/10/08 12:55:55,同意する,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,お祭りやイベントへの参加・見物,飛行機,"路線バス, 徒歩",不満,支払い方法が現金オンリーだった,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","10,000円以上 20,000円未満",6～10回目,X(旧：Twitter),選択なし/該当施設なし,,石川県立航空プラザ,,"3,000円以上 5,000円未満",どちらでもない,プラザの方が揃ってた,どちらでもない,電話が繋がらなかった,感じた,,6,空きスペースはあるけど食べ物屋のチョイスが少ない,機会があれば行きたい,毎回近江市場へ行ってるが周辺の閉店時間が早く感じる,男,1966,埼玉県,志木市,700万円以上 800万円未満,なんとなく,,,地元民との出会いが楽しかったから
小松空港,2023/10/08 13:07:58,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,富山県,夫婦2人,まちあるき、都市散策,自家用車,自家用車,とても満足,,"1,000円以上 3,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",6～10回目,観光協会等の案内所,木場潟公園,,木場潟公園,,"5,000円以上 10,000円未満",とても満足,,どちらでもない,,感じなかった,,10,,また行きたい（1年以内）,特になし,女,1977,富山県,小矢部市,300万円以上 400万円未満,能登牛が当たる,,,
小松空港,2023/10/08 15:28:41,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,小学生以下連れの家族,テーマパーク（遊園地、動物園、博物館など）,自家用車,自家用車,,,使わない,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,,選択なし/該当施設なし,,使わない,どちらでもない,,どちらでもない,,感じなかった,,10,,また行きたい（1年以内）,子連れも楽しめる施設,女,1989,富山県,富山市,"900万円以上 1,000万円未満","能登牛が当たる, ひゃくまさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい",,,
